"snz_uid","srp_ref_date","srp_flag_ir_ind","srp_flag_ed_ind","srp_flag_health_ind","srp_flag_acc_ind","srp_flag_under5_ind"
402957,2000-06-30,1,0,1,0,0
4933282,2000-06-30,0,1,1,1,0
6344796,2000-06-30,0,0,0,0,0
4462681,2000-06-30,1,0,1,0,0
8291158,2000-06-30,1,1,0,1,0
7294337,2000-06-30,1,1,1,0,0
9895001,2000-06-30,0,1,0,0,0
5550344,2000-06-30,0,0,0,0,0
8905878,2000-06-30,1,1,1,0,0
6408621,2000-06-30,1,1,0,0,0
3478534,2000-06-30,1,1,1,0,0
5128059,2000-06-30,1,0,1,0,0
7365690,2000-06-30,0,0,0,0,0
9853693,2000-06-30,1,0,1,0,0
5391420,2000-06-30,0,1,0,0,0
2522009,2000-06-30,1,1,0,0,0
1963713,2000-06-30,1,0,1,1,0
3492398,2000-06-30,1,1,0,1,0
5008913,2000-06-30,0,0,0,0,0
2160779,2000-06-30,1,1,0,0,0
419818,2000-06-30,1,0,1,0,0
3511290,2000-06-30,0,0,0,1,0
1661262,2000-06-30,1,1,1,0,0
3351421,2000-06-30,1,1,0,0,0
5950692,2000-06-30,1,1,1,0,0
5274496,2000-06-30,1,0,0,1,0
9456675,2000-06-30,1,0,0,1,0
9636102,2000-06-30,1,0,1,0,0
3472587,2000-06-30,0,0,0,0,0
5191238,2000-06-30,1,0,0,1,0
2313278,2000-06-30,1,1,1,1,0
2532688,2000-06-30,1,0,1,0,0
2138294,2000-06-30,0,1,0,0,0
9135045,2000-06-30,1,1,0,0,0
1367348,2000-06-30,1,0,1,0,0
7678374,2000-06-30,1,0,0,1,0
7509468,2000-06-30,0,1,0,1,0
4325013,2000-06-30,1,1,1,0,0
8328413,2000-06-30,0,0,0,0,0
9317878,2000-06-30,1,0,1,0,0
3106222,2000-06-30,1,0,1,0,0
7057515,2000-06-30,1,0,0,0,0
1883541,2000-06-30,1,0,1,0,0
4576429,2000-06-30,0,0,1,0,0
661466,2000-06-30,1,0,1,0,0
8717447,2000-06-30,1,1,1,0,0
1619431,2000-06-30,1,0,1,1,0
2403089,2000-06-30,0,0,1,0,0
8243337,2000-06-30,0,0,1,1,0
3806100,2000-06-30,1,1,0,0,0
8792224,2000-06-30,0,1,0,1,0
5063420,2000-06-30,0,0,1,0,0
8029625,2000-06-30,0,0,0,1,0
4360074,2000-06-30,0,1,0,0,0
6632588,2000-06-30,0,0,0,0,0
5073391,2000-06-30,1,1,1,0,0
1246513,2000-06-30,0,0,0,0,0
1599678,2000-06-30,1,0,0,0,0
4651100,2000-06-30,0,1,0,0,0
8326680,2000-06-30,1,0,1,1,0
902655,2000-06-30,1,0,1,0,0
8763628,2000-06-30,1,0,0,0,0
2992291,2000-06-30,1,1,0,0,0
3990522,2000-06-30,0,1,0,1,0
1148775,2000-06-30,1,1,1,0,0
6895986,2000-06-30,1,0,1,0,0
3446216,2000-06-30,1,0,1,0,0
603299,2000-06-30,1,1,1,0,0
4692239,2000-06-30,1,0,1,0,0
4585169,2000-06-30,0,0,1,0,0
3805202,2000-06-30,1,0,0,0,0
1471356,2000-06-30,0,1,1,0,0
3651221,2000-06-30,0,1,0,0,0
8102126,2000-06-30,0,1,0,0,0
4859807,2000-06-30,1,0,0,0,0
5519789,2000-06-30,1,1,0,1,0
6382749,2000-06-30,0,0,1,0,0
825451,2000-06-30,0,1,0,0,0
121566,2000-06-30,0,1,0,0,0
1068035,2000-06-30,1,0,1,0,0
5003179,2000-06-30,1,0,0,0,0
3444642,2000-06-30,1,0,1,1,0
1119183,2000-06-30,0,0,1,1,0
2705192,2000-06-30,1,1,1,0,0
4140208,2000-06-30,1,0,1,0,0
7285864,2000-06-30,0,1,0,0,0
6505982,2000-06-30,1,0,0,0,0
8790405,2000-06-30,0,0,1,0,0
572082,2000-06-30,0,0,0,0,0
9486058,2000-06-30,1,0,1,1,0
6465916,2000-06-30,0,1,0,0,0
8508398,2000-06-30,0,0,0,1,0
7147327,2000-06-30,1,0,0,1,0
6066658,2000-06-30,1,1,1,0,0
2529731,2000-06-30,1,1,0,0,0
518903,2000-06-30,1,1,1,1,1
5596693,2000-06-30,1,1,1,1,0
3394109,2000-06-30,0,0,1,0,0
9968767,2000-06-30,1,0,0,0,0
3657904,2000-06-30,0,0,1,0,0
5616781,2000-06-30,1,0,0,0,0
6508556,2000-06-30,1,0,1,0,0
2377699,2000-06-30,0,0,0,0,0
1706796,2000-06-30,0,0,0,0,1
9014911,2000-06-30,0,0,1,0,0
4332004,2000-06-30,0,1,1,0,0
4983057,2000-06-30,1,1,1,0,0
2335899,2000-06-30,0,0,0,1,0
3691110,2000-06-30,1,1,1,0,0
3288065,2000-06-30,1,1,0,1,0
1032146,2000-06-30,1,0,0,0,0
6255938,2000-06-30,1,0,0,0,1
8693462,2000-06-30,1,0,0,0,0
5151062,2000-06-30,1,0,0,0,0
6226337,2000-06-30,0,1,0,1,0
9796130,2000-06-30,1,1,0,0,0
5820658,2000-06-30,1,1,0,0,0
4485160,2000-06-30,1,0,1,0,0
2044051,2000-06-30,0,0,1,0,0
3583490,2000-06-30,0,0,1,0,0
8151291,2000-06-30,0,0,1,0,0
8307324,2000-06-30,1,1,0,1,0
890113,2000-06-30,1,0,1,0,0
7139105,2000-06-30,1,1,0,0,0
877075,2000-06-30,1,1,0,0,0
5186463,2000-06-30,1,1,1,0,0
4067629,2000-06-30,0,1,1,0,0
5439556,2000-06-30,0,1,0,0,0
2976700,2000-06-30,1,1,0,0,0
513294,2000-06-30,0,0,1,0,0
7734103,2000-06-30,1,1,0,1,0
6451303,2000-06-30,1,1,1,0,0
2898283,2000-06-30,0,1,1,0,0
9438170,2000-06-30,1,0,0,0,0
3174187,2000-06-30,0,0,0,0,0
6074944,2000-06-30,0,0,0,1,0
3393130,2000-06-30,1,0,0,1,0
2312035,2000-06-30,1,0,0,0,0
9790895,2000-06-30,0,0,1,0,1
4598562,2000-06-30,1,1,1,0,0
9591861,2000-06-30,1,0,1,1,0
9793397,2000-06-30,0,1,1,0,0
3349282,2000-06-30,1,0,1,0,0
1271058,2000-06-30,0,1,1,0,0
9242240,2000-06-30,1,1,0,0,0
6550009,2000-06-30,1,0,0,0,0
1886503,2000-06-30,1,1,1,0,0
8931766,2000-06-30,1,1,0,0,0
1591634,2000-06-30,1,0,1,0,0
4950625,2000-06-30,0,1,0,0,0
5707190,2000-06-30,0,0,0,0,0
6858618,2000-06-30,0,0,1,1,0
8984107,2000-06-30,1,1,0,0,0
8409277,2000-06-30,0,0,1,0,0
782404,2000-06-30,1,0,1,1,0
7721796,2000-06-30,1,0,1,0,0
9629683,2000-06-30,1,0,1,0,0
6258515,2000-06-30,0,0,0,0,0
3276379,2000-06-30,1,1,1,0,0
6119082,2000-06-30,1,0,1,0,0
4915602,2000-06-30,0,1,0,0,0
4907540,2000-06-30,1,1,1,0,0
341416,2000-06-30,1,0,0,0,0
7814273,2000-06-30,0,0,1,0,0
5985848,2000-06-30,1,1,1,0,1
2732407,2000-06-30,1,1,1,0,1
212797,2000-06-30,1,0,1,1,0
9502218,2000-06-30,0,0,1,0,0
4775828,2000-06-30,0,0,1,0,0
6070605,2000-06-30,1,0,0,0,0
2479745,2000-06-30,1,0,0,0,0
4676724,2000-06-30,1,1,0,0,0
8839462,2000-06-30,0,0,0,0,0
6386664,2000-06-30,0,1,1,0,0
3179541,2000-06-30,0,1,0,0,0
2727468,2000-06-30,0,0,1,1,0
6828736,2000-06-30,1,1,1,0,0
8994964,2000-06-30,0,0,0,0,0
9812751,2000-06-30,1,0,1,0,0
670069,2000-06-30,0,1,0,0,0
7324564,2000-06-30,1,0,1,0,0
7154189,2000-06-30,0,1,1,0,0
8389381,2000-06-30,1,0,0,0,0
8109684,2000-06-30,1,1,1,0,0
8079447,2000-06-30,1,1,1,1,0
9517226,2000-06-30,1,0,1,0,0
5899946,2000-06-30,1,1,1,0,0
1718338,2000-06-30,0,0,1,0,0
