"snz_uid","snz_nzta_uid","nzta_snz_sex_code","nzta_dlr_birth_month_nbr","nzta_dlr_birth_year_nbr","nzta_dlr_licence_issue_date","nzta_dlr_organ_donor_ind","nzta_dlr_licence_type_text","nzta_dlr_licence_status_text","nzta_dlr_lic_class_grant_date","nzta_dlr_licence_start_date","nzta_dlr_licence_from_date","nzta_dlr_class_status_text","nzta_dlr_licence_class_text","nzta_dlr_licence_stage_text","nzta_dlr_class_from_date","nzta_dlr_endorsement_type_text","nzta_dlr_region_code"
24325,3320844,1,2,1935,1951-12-15,"0","PERMANENT","active",NA,1959-10-28,2016-11-28,NA,"16",NA,NA,NA,"16"
28382,3324901,2,8,1959,1976-01-07,"1","PERMANENT","active",NA,1979-11-30,2015-12-28,NA,"1",NA,NA,NA,"14"
37643,3334162,1,3,1941,1959-11-05,"0","PERMANENT","active",NA,1965-04-09,2019-10-21,NA,"1",NA,NA,NA,"2"
74928,3371447,2,4,1938,1954-06-08,"1","PERMANENT","active",NA,1960-08-17,2019-05-23,NA,"1",NA,NA,NA,"2"
76761,3373280,1,11,1953,1973-06-15,"0","PERMANENT","active",NA,1977-12-26,2018-06-04,NA,"1",NA,NA,NA,"8"
83717,3380236,1,6,1955,1972-08-31,"0","PERMANENT","active",NA,1980-10-17,2017-08-20,NA,"1",NA,NA,NA,"12"
88416,3384935,2,11,1954,1971-08-03,"1","PERMANENT","active",NA,1977-07-28,2016-07-22,NA,"1",NA,NA,NA,"2"
91921,3388440,2,8,1996,2015-12-15,"0","PERMANENT","active",NA,2018-11-05,2020-12-13,NA,"1",NA,NA,NA,"14"
109375,3405894,1,2,1959,1975-08-25,"1","PERMANENT","active",NA,1977-01-01,2020-08-13,NA,"1",NA,NA,NA,"2"
117012,3413531,1,10,1925,1944-01-12,"1","PERMANENT","active",NA,1954-12-03,2018-12-24,NA,"1",NA,NA,NA,"14"
121566,3418085,1,6,1939,1958-11-14,"1","PERMANENT","active",NA,1961-06-11,2018-10-30,NA,"1",NA,NA,"F","2"
122954,3419473,1,5,1980,2000-06-19,"1","PERMANENT","active",NA,2010-06-10,2020-06-14,NA,"1",NA,NA,"F","3"
140184,3436703,2,9,1986,2006-07-13,"0","PERMANENT","active",NA,2011-07-18,2016-07-10,NA,"1",NA,NA,"D","17"
149840,3446359,1,8,1959,1977-08-19,"1","PERMANENT","active",NA,1977-08-19,2017-08-09,NA,"1",NA,NA,NA,"2"
200995,3497514,2,2,1923,1940-11-18,"1","PERMANENT","active",NA,1942-01-25,2020-10-29,NA,"1",NA,NA,NA,"2"
205514,3502033,2,2,1985,2001-09-25,"1","PERMANENT","active",NA,2003-04-26,2016-09-21,NA,"1",NA,NA,"P","9"
209008,3505527,1,7,1963,1980-08-05,"1","PERMANENT","active",NA,1988-09-28,2020-07-26,NA,"16",NA,NA,NA,"3"
212797,3509316,1,3,1926,1944-08-05,"1","PERMANENT","active",NA,1949-03-26,2019-07-18,NA,"1",NA,NA,NA,"2"
215469,3511988,2,3,1923,1943-11-23,"1","PERMANENT","active",NA,1948-01-03,2018-11-04,NA,"1",NA,NA,NA,"14"
221450,3517969,2,5,1936,1954-05-29,"0","PERMANENT","active",NA,1954-05-29,2019-05-13,NA,"1",NA,NA,NA,"13"
224170,3520689,1,8,1973,1989-09-19,"1","PERMANENT","active",NA,1999-02-07,2019-09-12,NA,"16",NA,NA,"P","18"
233517,3530036,2,7,1935,1953-01-26,"0","PERMANENT","active",NA,1953-01-26,2018-01-10,NA,"1",NA,NA,NA,"9"
314414,3610933,1,5,1972,1988-08-02,"0","PERMANENT","active",NA,1991-03-29,2018-07-26,NA,"1",NA,NA,NA,"2"
341416,3637935,1,5,1947,1968-02-28,"1","PERMANENT","active",NA,1971-08-24,2018-02-15,NA,"1",NA,NA,NA,"2"
345923,3642442,2,4,1921,1939-11-24,"1","PERMANENT","active",NA,1945-11-02,2019-11-04,NA,"1",NA,NA,NA,"3"
357992,3654511,2,7,1981,2000-11-26,"1","PERMANENT","active",NA,2006-09-02,2020-11-21,NA,"1",NA,NA,NA,"14"
359098,3655617,2,5,1957,1973-06-02,"1","PERMANENT","active",NA,1979-01-01,2018-05-22,NA,"1",NA,NA,"D","14"
