schema,table,column,value,weight,notes
data,personal_detail,snz_sex_gender_code,1,50,male
data,personal_detail,snz_sex_gender_code,2,50,female
data,personal_detail,snz_sex_gender_code,3,1,other
data,personal_detail,snz_birth_month_nbr,1,20,Jan
data,personal_detail,snz_birth_month_nbr,2,21,Feb
data,personal_detail,snz_birth_month_nbr,3,26,Mar
data,personal_detail,snz_birth_month_nbr,4,23,Apr
data,personal_detail,snz_birth_month_nbr,5,26,May
data,personal_detail,snz_birth_month_nbr,6,21,Jun
data,personal_detail,snz_birth_month_nbr,7,29,Jul
data,personal_detail,snz_birth_month_nbr,8,27,Aug
data,personal_detail,snz_birth_month_nbr,9,22,Sep
data,personal_detail,snz_birth_month_nbr,10,25,Oct
data,personal_detail,snz_birth_month_nbr,11,25,Nov
data,personal_detail,snz_birth_month_nbr,12,20,Dec
data,personal_detail,snz_deceased_month_nbr,1,51,Jan
data,personal_detail,snz_deceased_month_nbr,2,55,Feb
data,personal_detail,snz_deceased_month_nbr,3,54,Mar
data,personal_detail,snz_deceased_month_nbr,4,51,Apr
data,personal_detail,snz_deceased_month_nbr,5,53,May
data,personal_detail,snz_deceased_month_nbr,6,54,Jun
data,personal_detail,snz_deceased_month_nbr,7,51,Jul
data,personal_detail,snz_deceased_month_nbr,8,54,Aug
data,personal_detail,snz_deceased_month_nbr,9,51,Sep
data,personal_detail,snz_deceased_month_nbr,10,55,Oct
data,personal_detail,snz_deceased_month_nbr,11,52,Nov
data,personal_detail,snz_deceased_month_nbr,12,50,Dec
data,personal_detail,snz_ethnicity,1,65,european
data,personal_detail,snz_ethnicity,2,15,maori
data,personal_detail,snz_ethnicity,3,8,pacific
data,personal_detail,snz_ethnicity,4,14,asian
data,personal_detail,snz_ethnicity,5,1,melaa
data,personal_detail,snz_ethnicity,6,1,other
data,personal_detail,snz_ethnicity,7,20,multi
