"schema","table","column","value","weight","notes"
"data","snz_res_pop","srp_flag_acc_ind",0,80,"junk"
"data","snz_res_pop","srp_flag_acc_ind",1,20,"junk"
"data","snz_res_pop","srp_flag_ed_ind",0,60,"junk"
"data","snz_res_pop","srp_flag_ed_ind",1,40,"junk"
"data","snz_res_pop","srp_flag_health_ind",0,50,"junk"
"data","snz_res_pop","srp_flag_health_ind",1,50,"junk"
"data","snz_res_pop","srp_flag_ir_ind",0,30,"junk"
"data","snz_res_pop","srp_flag_ir_ind",1,70,"junk"
"data","snz_res_pop","srp_flag_under5_ind",0,80,"junk"
"data","snz_res_pop","srp_flag_under5_ind",1,20,"junk"
