"schema","table","column","value","weight","notes"
"ir_clean","ird_ems","ir_ems_line_nbr","31",28,"junk"
"ir_clean","ird_ems","ir_ems_line_nbr","33",9,"junk"
"ir_clean","ird_ems","ir_ems_line_nbr","37",12,"junk"
"ir_clean","ird_ems","ir_ems_line_nbr","40",4,"junk"
"ir_clean","ird_ems","ir_ems_snz_unique_nbr","0",3,"junk"
"ir_clean","ird_ems","ir_ems_snz_unique_nbr","1",80,"junk"
"ir_clean","ird_ems","ir_ems_snz_unique_nbr","2",15,"junk"
"ir_clean","ird_ems","ir_ems_version_nbr","1",60,"junk"
"ir_clean","ird_ems","ir_ems_version_nbr","2",38,"junk"
"ir_clean","ird_ems","ir_ems_version_nbr","3",12,"junk"
"ir_clean","ird_ems","ir_ems_version_nbr","4",3,"junk"
"ir_clean","ird_ems","ir_ems_version_nbr","5",2,"junk"
"ir_clean","ird_ems","ir_ems_version_nbr","7",1,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_prefix_nbr",NA,5,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_prefix_nbr","12",18,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_prefix_nbr","15",17,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_prefix_nbr","30",18,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_prefix_nbr","31",22,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_prefix_nbr","38",12,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_prefix_nbr","88",22,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_prefix_nbr","54",16,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_nbr","1",1,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_nbr","2",1,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_nbr","3",1,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_nbr","4",1,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_nbr","5",1,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_nbr","6",1,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_nbr","7",1,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_nbr","8",1,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_suffix_nbr",NA,5,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_suffix_nbr","11",3,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_suffix_nbr","12",3,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_suffix_nbr","13",3,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_suffix_nbr","14",2,"junk"
"ir_clean","ird_ems","ir_ems_doc_lodge_suffix_nbr","15",3,"junk"
"ir_clean","ird_ems","ir_ems_gross_earnings_imp_code","1",1,"junk"
"ir_clean","ird_ems","ir_ems_gross_earnings_imp_code","0",9,"junk"
"ir_clean","ird_ems","ir_ems_paye_imp_ind","1",2,"junk"
"ir_clean","ird_ems","ir_ems_paye_imp_ind","0",9,"junk"
"ir_clean","ird_ems","ir_ems_earnings_not_liab_imp_ind","1",2,"junk"
"ir_clean","ird_ems","ir_ems_earnings_not_liab_imp_ind",NA,9,"junk"
"ir_clean","ird_ems","ir_ems_withholding_type_code","P",90,"junk"
"ir_clean","ird_ems","ir_ems_withholding_type_code","S",70,"junk"
"ir_clean","ird_ems","ir_ems_withholding_type_code","M",25,"junk"
"ir_clean","ird_ems","ir_ems_withholding_type_code","I",26,"junk"
"ir_clean","ird_ems","ir_ems_lump_sum_ind","Y",3,"junk"
"ir_clean","ird_ems","ir_ems_lump_sum_ind",NA,12,"junk"
"ir_clean","ird_ems","ir_ems_lump_sum_ind","N",5,"junk"
"ir_clean","ird_ems","ir_ems_return_line_item_code",NA,7,"junk"
"ir_clean","ird_ems","ir_ems_return_line_item_code","-1",4,"junk"
"ir_clean","ird_ems","ir_ems_return_line_item_code","44",15,"junk"
"ir_clean","ird_ems","ir_ems_return_line_item_code","46",16,"junk"
"ir_clean","ird_ems","ir_ems_return_line_item_code","54",12,"junk"
"ir_clean","ird_ems","ir_ems_return_line_item_code","56",26,"junk"
"ir_clean","ird_ems","ir_ems_return_line_item_code","66",25,"junk"
"ir_clean","ird_ems","ir_ems_return_line_item_code","76",9,"junk"
