"snz_uid","snz_birth_year_nbr","snz_deceased_year_nbr","the_year","is_resident"
3269849,1921,1935,2000,1
2782536,1934,2001,2000,0
7705340,1926,1997,2000,0
5891774,1945,2014,2000,0
4692093,1994,2064,2000,0
402957,1955,2044,2000,1
8972129,1923,1996,2000,0
5077684,1981,2059,2000,0
2766794,1929,1936,2000,0
7617455,1991,2053,2000,0
9333379,1964,2031,2000,0
402412,1921,2005,2000,0
1498110,1922,1996,2000,0
8789912,1950,2001,2000,0
2187328,1932,1999,2000,1
4462763,1931,2000,2000,0
4933282,1963,2035,2000,1
9204533,1935,1993,2000,1
6344796,1947,2024,2000,1
5927164,1949,2008,2000,0
2466168,1976,2054,2000,0
3906882,1943,2014,2000,0
990423,1924,1977,2000,0
6138729,1981,2062,2000,0
5599161,1930,1999,2000,0
2548994,1969,2025,2000,0
7710613,1936,1995,2000,0
209008,1963,2045,2000,0
4462681,1979,2055,2000,1
8291158,1977,2048,2000,1
9983383,1928,1989,2000,0
1438908,1930,2007,2000,0
1612858,1921,1993,2000,0
2237963,1942,1979,2000,0
7294337,1953,2020,2000,1
9171714,1927,1982,2000,0
7873745,1939,2006,2000,0
9895001,1948,2015,2000,1
7935922,1928,1989,2000,1
5550344,1972,2040,2000,1
8905878,1954,2020,2000,1
4832533,1967,2050,2000,0
6924623,1930,1939,2000,0
6408621,1943,2012,2000,1
3478534,1957,2027,2000,1
5128059,1960,2003,2000,1
7365690,1940,2003,2000,1
6961130,1933,2004,2000,0
9853693,1963,2032,2000,1
6643793,1929,2000,2000,0
8796414,1923,1982,2000,1
4534131,1922,2001,2000,0
1556355,1974,2049,2000,0
1351322,2003,2077,2000,1
4884487,1940,2009,2000,0
5391420,1967,2032,2000,1
2522009,1981,2054,2000,1
3101360,1933,1996,2000,0
5414683,1958,2026,2000,0
2533671,2008,2087,2000,1
37643,1941,2011,2000,0
1963713,1994,2051,2000,1
1040827,1920,1985,2000,1
3492398,1951,2026,2000,1
6766886,1954,2032,2000,0
6073607,1961,2035,2000,0
3388367,1920,1998,2000,0
1403156,1944,2019,2000,0
2747294,1952,2021,2000,0
