TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE
IDI_Clean_20190420,acc_clean,claims,snz_uid,1,int
IDI_Clean_20190420,acc_clean,claims,snz_acc_uid,2,int
IDI_Clean_20190420,acc_clean,claims,snz_employee_ird_uid,3,int
IDI_Clean_20190420,acc_clean,claims,acc_cla_accident_date,4,date
IDI_Clean_20190420,acc_clean,claims,acc_cla_accident_calendar_year_nbr,5,smallint
IDI_Clean_20190420,acc_clean,claims,acc_cla_claim_costs_to_date_ex_gst_amt,6,decimal
IDI_Clean_20190420,acc_clean,claims,acc_cla_tot_med_fee_paid_amt,7,decimal
IDI_Clean_20190420,acc_clean,claims,acc_cla_tot_weekly_comp_paid_amt,8,decimal
IDI_Clean_20190420,acc_clean,claims,acc_cla_weekly_comp_days_nbr,9,smallint
IDI_Clean_20190420,acc_clean,claims,acc_cla_accident_in_NZ_ind,10,char
IDI_Clean_20190420,acc_clean,claims,acc_cla_activity_prior_text,11,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_scene_text,12,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_road_accident_ind,13,char
IDI_Clean_20190420,acc_clean,claims,acc_cla_road_agency_text,14,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_secondary_road_agency_text,15,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_injury_cause_text,16,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_injury_contact_text,17,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_external_agency_text,18,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_occupation_level1_text,19,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_occupation_level5_text,20,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_work_type_text,21,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_client_earner_status_text,22,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_accredited_employer_ind,23,char
IDI_Clean_20190420,acc_clean,claims,acc_cla_wilful_self_inflicted_status_text,24,varchar
IDI_Clean_20190420,acc_clean,claims,snz_acc_claim_uid,25,int
IDI_Clean_20190420,acc_clean,claims,acc_cla_decision_text,26,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_fund_account_text,27,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_age_at_accident_nbr,28,smallint
