TABLE_SCHEMA;TABLE_NAME;18
cen_clean;census_household;planned
cen_clean;census_individual;planned
data;address_notification;
data;address_notification_full;
data;income_cal_yr;
data;income_cal_yr_summary;
data;income_tax_yr;
data;income_tax_yr_summary;
data;person_overseas_spell;done
data;personal_detail;done
data;snz_res_pop;done
dia_clean;births;planned
dia_clean;civil_unions;planned
dia_clean;deaths;planned
dia_clean;marriages;planned
gss_clean;gss_household;
gss_clean;gss_identity;
gss_clean;gss_person;
hnz_clean;houses_snapshot;
hnz_clean;new_applications;
hnz_clean;new_applications_household;
hnz_clean;register_exit;
hnz_clean;register_household_snapshot;
hnz_clean;register_snapshot;
hnz_clean;register_status_change_househld;
hnz_clean;register_status_changes;
hnz_clean;tenancy_exit;
hnz_clean;tenancy_household_snapshot;
hnz_clean;tenancy_snapshot;
hnz_clean;transfer_applications;
hnz_clean;transfer_applications_household;
ir_clean;ird_ems;underway
moe_clean;completion;
moe_clean;course;
moe_clean;enrolment;
moe_clean;nsi;
moe_clean;secondary_tertiary_prog;
moe_clean;student_enrol;
moe_clean;student_interventions;
moe_clean;student_leavers;
moe_clean;student_per;
moe_clean;student_percentile_score;
moe_clean;student_qualification;
moe_clean;student_standard;
moe_clean;student_ue;
moe_clean;targeted_training;
moe_clean;tec_it_learner;
moh_clean;lab_claims;
moh_clean;nnpac;planned
moh_clean;pharmaceutical;
moh_clean;pub_fund_hosp_discharges_diag;planned
moh_clean;pub_fund_hosp_discharges_event;planned
moj_clean;charges;planned
msd_clean;msd_child;
msd_clean;msd_child_full;
msd_clean;msd_client_varchar;
msd_clean;msd_client_varnum;
msd_clean;msd_customer;
msd_clean;msd_customer_alias;
msd_clean;msd_district;
msd_clean;msd_education_history;
msd_clean;msd_employment_assistance;
msd_clean;msd_first_tier_expenditure;
msd_clean;msd_incapacity;
msd_clean;msd_partner;
msd_clean;msd_postal_location;
msd_clean;msd_residential_location;
msd_clean;msd_second_tier_expenditure;
msd_clean;msd_spell;
msd_clean;msd_swn;
msd_clean;msd_third_tier_expenditure;
msd_clean;ref_msd_district_concordance;
nzta_clean;drivers_licence_register;planned
nzta_clean;motor_vehicle_register;planned
pol_clean;pre_count_offenders;planned
pol_clean;pre_count_victimisations;planned
